Name,City,State,Size_MW,Score_Default,Classification,Score_Best_Case,Score_Worst_Case,Score_Range,Missing_Inputs,PUE_Low_Score,PUE_High_Score,Growth_Low_Score,Growth_High_Score,OPEX_Low_Score,OPEX_High_Score,Data_Collection_Priority
Conapto Stockholm 1 City,Stockholm,,1.0,35.93,Moderate,42.54,25.5,17.04,baseline_pue; load_growth_rate; energy_pct_opex,32.9,38.1,31.99,39.88,32.33,36.33,HIGH
ESbogatan 11 (STO4),Stockholm,Kista,1.8,34.33,Moderate,42.54,25.5,17.04,baseline_pue; load_growth_rate; energy_pct_opex,31.3,36.5,30.39,38.28,32.33,36.33,HIGH
ESbogatan 11 STO4,Kista,,1.8,34.33,Moderate,42.54,25.5,17.04,baseline_pue; load_growth_rate; energy_pct_opex,31.3,36.5,30.39,38.28,32.33,36.33,HIGH
Esbogatan 11 STO3,Kista,,1.5,34.33,Moderate,42.54,25.5,17.04,baseline_pue; load_growth_rate; energy_pct_opex,31.3,36.5,30.39,38.28,32.33,36.33,HIGH
Esbogatan 11 STO2,Kista,,1.8,34.33,Moderate,42.54,25.5,17.04,baseline_pue; load_growth_rate; energy_pct_opex,31.3,36.5,30.39,38.28,32.33,36.33,HIGH
Bengaluru 4,Bengaluru,Karnataka,67.2,57.05,Good,65.18,48.15,17.03,baseline_pue; load_growth_rate; energy_pct_opex,53.98,59.16,53.11,60.98,55.05,59.05,HIGH
IAD-01,Ashburn,VA,60.0,56.56,Good,64.65,47.69,16.96,baseline_pue; load_growth_rate; energy_pct_opex,53.52,58.64,52.62,60.48,54.56,58.56,HIGH
Iron Mountain VA-1,Manassas,VA,60.0,56.56,Good,64.65,47.69,16.96,baseline_pue; load_growth_rate; energy_pct_opex,53.52,58.64,52.62,60.48,54.56,58.56,HIGH
Green Mountain OSL1 Rjukan,Rjukan,,35.0,53.87,Good,61.85,44.98,16.87,baseline_pue; load_growth_rate; energy_pct_opex,50.83,55.88,49.95,57.78,51.87,55.87,HIGH
NVA06,Leesburg,VA,72.0,56.76,Good,64.82,47.97,16.85,baseline_pue; load_growth_rate; energy_pct_opex,53.78,58.82,52.84,60.68,54.76,58.76,HIGH
IAD5,Culpeper,VA,72.0,56.76,Good,64.82,47.97,16.85,baseline_pue; load_growth_rate; energy_pct_opex,53.78,58.82,52.84,60.68,54.76,58.76,HIGH
QTS Ashburn DC1,Ashburn,VA,72.0,56.76,Good,64.82,47.97,16.85,baseline_pue; load_growth_rate; energy_pct_opex,53.78,58.82,52.84,60.68,54.76,58.76,HIGH
11 Hanbury Street (LON1),London,,6.2,77.51,Excellent,83.45,66.63,16.82,baseline_pue; load_growth_rate; energy_pct_opex,73.63,77.99,74.02,80.99,75.51,79.51,HIGH
11 Hanbury Street LON1,London,,6.2,77.51,Excellent,83.45,66.63,16.82,baseline_pue; load_growth_rate; energy_pct_opex,73.63,77.99,74.02,80.99,75.51,79.51,HIGH
MAA10,Chennai,Tamil Nadu,150.0,57.64,Good,65.66,48.95,16.71,baseline_pue; load_growth_rate; energy_pct_opex,54.74,59.67,53.73,61.54,55.64,59.64,HIGH
MU1,Mumbai,Maharashtra,150.0,57.64,Good,65.66,48.95,16.71,baseline_pue; load_growth_rate; energy_pct_opex,54.74,59.67,53.73,61.54,55.64,59.64,HIGH
SUPERNAP 9,Las Vegas,NV,150.0,57.52,Good,65.53,48.86,16.67,baseline_pue; load_growth_rate; energy_pct_opex,54.65,59.54,53.62,61.43,55.52,59.52,HIGH
Green Mountain DC1 Stavanger,Rennesøy,,45.0,54.41,Good,62.29,45.71,16.58,baseline_pue; load_growth_rate; energy_pct_opex,51.52,56.34,50.52,58.3,52.41,56.41,HIGH
Richmond 1,Richmond,VA,238.0,57.48,Good,65.4,48.93,16.47,baseline_pue; load_growth_rate; energy_pct_opex,54.7,59.43,53.59,61.36,55.48,59.48,HIGH
STT Delhi DC 1,New Delhi,Delhi,1.6,33.11,Moderate,41.06,24.6,16.46,baseline_pue; load_growth_rate; energy_pct_opex,30.36,35.08,29.23,37.0,31.11,35.11,HIGH
GDC - Chennai 1,Chennai,Tamil Nadu,2.0,33.11,Moderate,41.06,24.6,16.46,baseline_pue; load_growth_rate; energy_pct_opex,30.36,35.08,29.23,37.0,31.11,35.11,HIGH
630 Ajax Ave LHR26,Slough,,9.0,78.57,Excellent,84.32,68.06,16.26,baseline_pue; load_growth_rate; energy_pct_opex,75.0,78.9,75.13,82.01,76.57,80.57,HIGH
